time,dB(SPL)
109984,46.56759
110033,44.02794
110087,45.05706
110134,46.40293
110183,46.14992
110233,46.96610
110284,45.52924
110334,44.34968
110384,43.69383
110432,44.02794
110483,41.43764
110534,59.06553
110584,58.75036
110633,42.60668
110683,41.13810
110734,43.28706
110783,39.55447
110835,41.86843
110885,53.17930
110933,51.66398
110984,52.64915
111033,52.27684
111082,53.08353
111137,52.86905
111182,50.52679
111233,52.29794
111285,51.36403
111334,52.78973
111383,22.92256
111433,54.03136
111484,51.38748
111534,52.94766
111583,51.02900
111634,54.97926
111685,30.62958
111733,54.16842
111783,49.85521
111832,52.21320
111883,51.24586
111934,45.48316
111983,45.20143
112033,46.02060
112084,46.02060
112139,44.95947
112184,45.75603
112234,46.96610
112284,46.76913
112333,44.81098
112384,44.19030
112434,44.13652
112483,43.16725
112532,43.04577
112583,41.79810
112633,42.92256
112685,43.91799
112733,42.14420
112783,24.08240
112833,16.90196
112884,25.57507
112934,20.00000
112984,40.82785
113033,26.02060
113084,19.08485
113141,18.06180
113182,16.90196
113232,58.36061
113283,48.43208
113334,29.54243
113383,21.58362
113434,19.08485
113483,16.90196
113533,24.08240
113583,30.37028
113633,52.60856
113683,42.34543
113733,51.75422
113783,32.04120
113832,43.75041
113883,23.52183
113933,39.73543
113984,30.88136
114033,31.59567
114083,33.62482
114155,22.92256
114184,19.08485
114233,16.90196
114283,41.93820
114334,33.97940
114383,22.92256
114433,20.00000
114482,19.08485
114533,16.90196
114583,38.98780
114635,20.00000
114683,20.00000
114733,15.56303
114784,16.90196
114834,12.04120
114884,40.25674
114934,54.51823
114984,32.04120
115033,26.44439
115085,20.00000
115138,16.90196
115183,15.56303
115233,39.36966
115282,31.82129
115333,32.86905
115384,28.29947
115433,20.82785
115484,28.29947
115532,40.90646
115583,59.14256
115633,38.68997
115684,28.62728
115734,20.82785
115784,16.90196
115834,20.00000
115884,40.42379
115933,22.27887
115985,18.06180
116034,18.06180
116085,16.90196
116137,16.90196
116183,40.98436
116232,32.46499
116283,32.04120
116333,29.24796
116383,21.58362
116433,26.02060
116482,40.82785
116533,31.12605
116584,20.00000
116633,19.08485
116684,19.08485
116733,16.90196
116783,22.92256
116834,40.00000
116884,27.95880
116934,21.58362
116983,16.90196
117034,19.08485
117083,20.00000
117147,39.27576
117184,30.37028
117233,18.06180
117285,32.46499
117334,29.54243
117383,20.00000
117433,25.10545
117483,41.72720
117533,22.27887
117583,57.81959
117632,36.90196
117682,57.93052
117733,30.88136
117784,41.72720
117836,23.52183
117883,20.82785
117934,19.08485
117983,16.90196
118033,16.90196
118083,25.10545
118154,42.47703
118183,22.27887
118232,19.08485
118282,32.86905
118333,31.36403
118383,26.84845
118432,41.36372
118483,21.58362
118533,20.82785
118583,29.24796
118634,28.29947
118685,22.27887
118733,39.91270
118784,52.29794
118834,54.75975
118883,35.56303
118934,34.96376
118985,33.62482
119033,20.82785
119083,40.74853
119140,26.02060
